,ax,ay,az,labelWalking,labelShaking,labelStanding,labelTrotting,gx,gy,gz,temp,pressure
2022-06-07 00:00:05.001,-4.1989788,8.622323999999999,-3.192362,1,0,0,0,9.8682928,-48.6805156,35.3926788,39.471199999999996,
2022-06-07 00:00:05.251,-3.2560964,9.438493600000001,-4.0939364000000005,1,0,0,0,15.980487599999998,-9.656112000000002,-18.178052944,39.48,
2022-06-07 00:00:05.501,-4.1088878399999995,8.069412799999998,-3.1775067999999997,1,0,0,0,-37.9731484,54.5073284,-0.34879040000000006,39.472,
2022-06-07 00:00:05.751,-5.608604000000001,8.704641200000001,-2.3363116399999995,1,0,0,0,-7.6097546,-25.5171056,-20.28781416,39.4744,
2022-06-07 00:00:06.001,-3.5500392,8.410029999999999,-3.9783512,1,0,0,0,64.982924,-60.6341288,17.2243836,39.471599999999995,
2022-06-07 00:00:06.251,-5.271340800000001,8.4979156,-3.6368719999999994,1,0,0,0,13.663409199999998,-44.46343720000001,19.817077679999997,39.4724,
2022-06-07 00:00:06.501,-4.018414,8.8060432,-2.8903672,1,0,0,0,-29.858534,55.390268000000006,-11.612205199999998,39.4708,
2022-06-07 00:00:06.751,-6.2587876,8.2135616,-2.55233756,1,0,0,0,-2.6438531999999997,-32.0609308,-13.473189200000002,39.471599999999995,
2022-06-07 00:00:07.001,-2.98409964,8.1644888,-5.1479935999999995,1,0,0,0,42.2780444,-23.575567120000006,20.91951028,39.4704,
2022-06-07 00:00:07.251,-5.5716104,7.511718400000001,-3.4189292,1,0,0,0,18.268292000000002,-9.256105200000002,-40.436631199999994,39.4692,
2022-06-07 00:00:07.501,-5.622502,7.4744344,-3.4119321199999995,1,0,0,0,-70.2512528,27.7755948,-19.487808800000003,39.472,
2022-06-07 00:00:07.751,-8.1663096,7.020915200000001,-3.3304683999999996,1,0,0,0,35.23650392,11.165841999999998,-20.348786624000002,39.4692,
2022-06-07 00:00:08.001,-5.3859668,8.4040892,-4.1838352,1,0,0,0,-6.5292836,-33.16829868,53.2171364,39.467600000000004,
2022-06-07 00:00:08.251,-5.776134000000001,7.5951956,-4.1495236,1,0,0,0,28.421946,-3.82195068,28.697537200000006,39.4744,
2022-06-07 00:00:08.501,-3.4527611199999995,9.163437199999999,-2.8267291200000004,1,0,0,0,-57.168256,53.912199519999994,-29.804901600000004,39.464400000000005,
2022-06-07 00:00:08.751,-5.8876916,7.8403512000000015,-3.26146332,1,0,0,0,-13.070736360000003,34.7146264,-26.6999928,39.4688,
2022-06-07 00:00:09.001,-5.28265,7.7913824,-2.8879710400000005,1,0,0,0,-41.82441119999999,-16.7145908,-25.7707336,39.467200000000005,
2022-06-07 00:00:09.251,-3.8504044,8.9913048,-4.09719572,1,0,0,0,56.073184,-65.5903072,14.941461839999999,39.4636,
2022-06-07 00:00:09.501,-4.2350132,7.333354000000001,-4.3817471999999995,1,0,0,0,30.66098156,-35.1585796,24.704870176,39.4628,
2022-06-07 00:00:09.751,-3.4600466000000005,10.3221512,-3.0059511999999997,1,0,0,0,-43.351212,82.387832,-49.636584,39.4656,
2022-06-07 00:00:10.001,-4.9867892,7.4645608,-2.49770812,1,0,0,0,-45.3438728,19.004886400000004,-2.4365703999999995,39.467600000000004,
2022-06-07 00:00:10.251,-4.0010669199999995,9.2993412,-4.3255836,1,0,0,0,61.5853288,-72.060982,13.639035999999997,39.468,
2022-06-07 00:00:10.501,-4.455351599999999,8.154808000000001,-4.251978800000001,1,0,0,0,30.219516759999998,-41.853651600000006,27.368302399999997,39.4636,
2022-06-07 00:00:10.751,-3.6508648,9.476648,-2.809477428,1,0,0,0,-63.59758120000001,93.84632000000002,-46.8927068,39.464000000000006,
2022-06-07 00:00:11.001,-6.078414800000001,7.807767600000001,-2.8495387999999995,1,0,0,0,4.45852964,-44.863429599999996,-13.7097632,39.4692,
2022-06-07 00:00:11.251,-3.255616552,8.787165199999999,-4.1178,1,0,0,0,64.714652,-34.56339560000001,48.39510560000001,39.4652,
2022-06-07 00:00:11.501,-4.32155832,8.000506,-4.1329432,1,0,0,0,13.509755720000001,-23.070688000000004,-29.441495599999993,39.466,
2022-06-07 00:00:11.751,-4.561448,8.496673999999999,-2.7574363999999996,1,0,0,0,-66.00973640000001,56.75120239999999,8.753652399999998,39.466,
2022-06-07 00:00:12.001,-4.54055496,9.055327199999999,-4.34005548,1,0,0,0,43.785408000000004,-77.068363,-21.548763200000003,39.4692,
2022-06-07 00:00:12.251,-4.3895100000000005,7.392778,-3.74977166,1,0,0,0,24.058535600000006,-5.387806400000001,56.99021984,39.4624,
2022-06-07 00:00:12.501,-3.7537973119999997,10.458332400000002,-3.2643378800000007,1,0,0,0,-47.619464,70.865876,-63.47558079999999,39.458800000000004,
2022-06-07 00:00:12.751,-5.976058839999999,7.4811416,-2.7917478399999998,1,0,0,0,-31.5365992,-3.2585680000000012,-12.2195068,39.464400000000005,
2022-06-07 00:00:13.001,-3.3263476,8.923453599999998,-4.0885692,1,0,0,0,68.21953400000001,-51.8804556,12.7731688,39.4648,
2022-06-07 00:00:13.251,-4.583491599999999,7.3354680000000005,-3.6986885999999997,1,0,0,0,10.058531600000002,-30.99024368,12.0146288,39.46240000000001,
2022-06-07 00:00:13.501,-5.1625608,8.665260400000001,-3.7040556,1,0,0,0,-30.6463412,73.4414496,-62.20973999999999,39.46320000000001,
2022-06-07 00:00:13.751,-6.3857772,6.847921599999999,-2.9651232,1,0,0,0,-33.2341044,8.014632,1.336592800000001,39.464800000000004,
